id,title,company_name,company_location,url,salary,salary_min,salary_max,avg_salary
88,Computer Science - online tutor/expert,Chegg India,Remote in India,https://in.indeed.com/viewjob?&t=Python+Developer&jk=e0cbf6ec8c839ce0&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,10000,10000,10000,10000.0
89,"Software Engineer (Golang, C,C++)",NetApp,"Bengaluru, Karnataka",https://in.indeed.com/viewjob?&t=Python+Developer&jk=771990f0cebbcb32&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,12000,12000,12000,12000.0
90,Software Engineer,GE,"Remote in Bengaluru, Karnataka",https://in.indeed.com/viewjob?&t=Python+Developer&jk=92a9204d755554cc&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,12000,12000,12000,12000.0
91,Python Developer Intern,Igsrs,Remote in Remote,https://in.indeed.com/viewjob?&t=Python+Developer&jk=93169148359a7702&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,7000 - 9000 ,7000 , 9000 ,8000.0
92,Freelance Software Developer,seikor,Remote in Remote,https://in.indeed.com/viewjob?&t=Python+Developer&jk=830db7299c0159d1&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,53000 - 90000 ,53000 , 90000 ,71500.0
93,Python Senior Developer,Infosys,"Indore, Madhya Pradesh",https://in.indeed.com/viewjob?&t=Python+Developer&jk=c54d3f882074facf&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,12000,12000,12000,12000.0
94,Full Stack Developer-Trainee,Wipro,Remote,https://in.indeed.com/viewjob?&t=Python+Developer&jk=83010b55d2d600fc&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,22000 - 53500 ,22000 , 53500 ,37750.0
95,Python Developer,QuantGrade,"Remote in Noida, Uttar Pradesh",https://in.indeed.com/viewjob?&t=Python+Developer&jk=866975dcfbad1b50&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3, 300000 , 300000 , 300000 ,300000.0
96,Python Developer,Infiniticube Services Pvt Ltd,Remote in Remote,https://in.indeed.com/viewjob?&t=Python+Developer&jk=84c0c493e417c331&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,15000 - 30000 ,15000 , 30000 ,22500.0
97,Junior Python Developer,Wisdomleaf Technologies (P) Limited,India,https://in.indeed.com/viewjob?&t=Python+Developer&jk=298089e9a99c56f2&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,300000 - 400000 ,300000 , 400000 ,350000.0
98,"Software Engineer II, Enterprise Integration Developer - AWS Technologies",Bristol Myers Squibb,"Hyderabad, Telangana",https://in.indeed.com/viewjob?&t=Python+Developer&jk=517e8963bbf5ca54&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,12000,12000,12000,12000.0
99,"JavaScript, Python and Linux Developer",Infosys,"Thiruvananthapuram, Kerala",https://in.indeed.com/viewjob?&t=Python+Developer&jk=383c6f992ed693ca&q=Python+Developer&xpse=SoCG67I3JVMFytwHBp0KbzkdCdPP&vjs=3,12000,12000,12000,12000.0
